type,price,profit,pair,scenario,timeframe,ema1,ema2
BUY,182.55,,SOLUSDT,StochRSI,4h,14,26
SELL,172.52,-47194.99938715249,SOLUSDT,StochRSI,4h,14,26
BUY,174.05,,SOLUSDT,StochRSI,4h,14,26
SELL,172.21,-9464.458877929137,SOLUSDT,StochRSI,4h,14,26
BUY,159.17,,SOLUSDT,StochRSI,4h,14,26
SELL,144.76,-71802.22740014514,SOLUSDT,StochRSI,4h,14,26
BUY,150.72,,SOLUSDT,StochRSI,4h,14,26
SELL,146.58,-20477.82757858676,SOLUSDT,StochRSI,4h,14,26
BUY,143.69,,SOLUSDT,StochRSI,4h,14,26
SELL,148.18,20560.309141985606,SOLUSDT,StochRSI,4h,14,26
BUY,151.07,,SOLUSDT,StochRSI,4h,14,26
SELL,177.71,124103.446776386,SOLUSDT,StochRSI,4h,14,26
BUY,192.0,,SOLUSDT,StochRSI,4h,14,26
SELL,186.05,-26992.535425095703,SOLUSDT,StochRSI,4h,14,26
BUY,170.49,,SOLUSDT,StochRSI,4h,14,26
SELL,189.6,89255.76322479255,SOLUSDT,StochRSI,4h,14,26
BUY,191.61,,SOLUSDT,StochRSI,4h,14,26
SELL,183.1,-41027.393621647265,SOLUSDT,StochRSI,4h,14,26
BUY,204.48,,SOLUSDT,StochRSI,4h,14,26
SELL,187.2,-73412.18683510402,SOLUSDT,StochRSI,4h,14,26
BUY,186.9,,SOLUSDT,StochRSI,4h,14,26
SELL,190.77,15081.474025204894,SOLUSDT,StochRSI,4h,14,26
BUY,201.92,,SOLUSDT,StochRSI,4h,14,26
SELL,202.92,2827.614078972256,SOLUSDT,StochRSI,4h,14,26
BUY,208.19,,SOLUSDT,StochRSI,4h,14,26
SELL,204.07,-16934.08790505014,SOLUSDT,StochRSI,4h,14,26
BUY,217.25,,SOLUSDT,StochRSI,4h,14,26
SELL,237.91,73289.59031047684,SOLUSDT,StochRSI,4h,14,26
BUY,210.71,,SOLUSDT,StochRSI,4h,14,26
SELL,221.2,41386.0020750711,SOLUSDT,StochRSI,4h,14,26
BUY,193.96,,SOLUSDT,StochRSI,4h,14,26
SELL,182.86,-52574.39140285179,SOLUSDT,StochRSI,4h,14,26
BUY,189.45,,SOLUSDT,StochRSI,4h,14,26
SELL,185.02,-20923.891227774322,SOLUSDT,StochRSI,4h,14,26
BUY,166.26,,SOLUSDT,StochRSI,4h,14,26
SELL,160.03,-32004.95423357759,SOLUSDT,StochRSI,4h,14,26
BUY,136.33,,SOLUSDT,StochRSI,4h,14,26
SELL,136.53,51.879500889917836,SOLUSDT,StochRSI,4h,14,26
BUY,139.67,,SOLUSDT,StochRSI,4h,14,26
SELL,133.5,-36070.327674080734,SOLUSDT,StochRSI,4h,14,26
