type,scenario,backtest_pair,ema_periods,price,profit,timeframe
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",39.685,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",38.235,-923.4263515524071,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",40.667,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",41.364,368.53833287470843,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",39.694,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",39.445,-182.5410274891583,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",39.728,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",38.947,-497.0876999308166,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",31.418,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",32.78,969.3199495897352,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",34.785,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",34.262,-395.71009004968437,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",33.839,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",32.48,-984.1791662215837,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",33.643,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",33.976,192.8454995508764,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",34.002,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",33.668,-256.9205862849485,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",36.548,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",34.183,-1496.278876998378,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",27.084,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",27.0,-95.18606580102278,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",28.75,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",28.107,-500.1373140621363,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",29.777,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",27.624,-1514.221737196298,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",28.28,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",28.08,-161.27042229500148,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",28.132,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",34.004,3912.510398720653,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",35.036,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",33.929,-751.6205755722149,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",35.003,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",33.909,-719.3288642747357,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",35.494,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",38.603,1836.655697363818,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",39.469,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",38.285,-726.6917092089134,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",39.246,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",41.436,1219.52605451817,1h
